nombre,precio,categoria,descripcion,precio_oferta,stock,marca,activo,destacado,variante_talla,variante_color,variante_material,variante_estilo,variante_imagen
Zapatilla Disruptor,110.00,Zapatillas,Zapatilla Disruptor chunky,95.00,60,Fila,si,no,"36,38,40","Blanco,Negro,Rosa",,,color
Zapatilla React,145.00,Zapatillas,Zapatilla con tecnología React,130.00,45,Nike,si,no,"40,42,44",,"React,Air,Foam",,material
Zapatilla Boost,160.00,Zapatillas,Zapatilla con tecnología Boost,140.00,35,Adidas,si,si,"38,40,42,44",,"Boost,Ultraboost,Bounce",,material
Zapatilla Gel,135.00,Zapatillas,Zapatilla Gel amortiguación,120.00,50,Asics,si,no,"39,41,43","Negro,Azul,Blanco",,,color
Zapatilla RS-X,130.00,Zapatillas,Zapatilla RS-X bold,115.00,55,Puma,si,no,"38,40,42","Blanco,Negro,Multicolor",,,color
Zapatilla Club C,90.00,Zapatillas,Zapatilla Club C retro,80.00,65,Reebok,si,no,"38,40,42,44",,"Cuero,Sintético,Suede",,material
Sudadera Essential,60.00,Sudaderas,Sudadera esencial básica,50.00,100,Nike,si,no,"S,M,L,XL","Negro,Gris,Blanco",,,color
Sudadera College,72.00,Sudaderas,Sudadera estilo universitario,62.00,80,Champion,si,si,"M,L,XL",,,"Oversize,Regular,Boxy",estilo
Sudadera Trefoil,78.00,Sudaderas,Sudadera con logo Trefoil,68.00,70,Adidas,si,no,"S,M,L,XL","Negro,Blanco,Verde",,,color
Sudadera Archive,75.00,Sudaderas,Sudadera colección archive,65.00,60,Puma,si,no,"S,M,L","Negro,Rojo,Azul",,,color
Sudadera Premium Thick,88.00,Sudaderas,Sudadera gruesa premium,78.00,55,Carhartt,si,si,"M,L,XL",,"Fleece Grueso,French Terry,Waffle",,material
Sudadera Half Zip,82.00,Sudaderas,Sudadera media cremallera,72.00,65,Nike,si,no,"S,M,L,XL","Negro,Gris,Navy",,,color
Sudadera Graphic,70.00,Sudaderas,Sudadera con gráfico,60.00,75,Vans,si,no,"S,M,L","Negro,Blanco,Rojo",,,color
Sudadera Crop,58.00,Sudaderas,Sudadera crop mujer,48.00,85,H&M,si,no,"XS,S,M",,,"Crop,Regular,Oversized",estilo
Sudadera Tie-Dye,68.00,Sudaderas,Sudadera efecto tie-dye,58.00,50,Urban Outfitters,si,no,"S,M,L","Multicolor,Azul,Morado",,,color
Sudadera Minimal,62.00,Sudaderas,Sudadera minimalista,52.00,90,Uniqlo,si,no,"S,M,L,XL","Negro,Gris,Beige",,,color
Short Athletic,38.00,Shorts,Short atlético rendimiento,32.00,95,Nike,si,si,"S,M,L,XL","Negro,Gris,Navy",,,color
Short Flex,35.00,Shorts,Short flex elástico,30.00,100,Under Armour,si,no,"S,M,L",,"Stretch,Woven,Knit",,material
Short Essential,32.00,Shorts,Short esencial básico,27.00,110,Adidas,si,no,"S,M,L,XL","Negro,Blanco,Rojo",,,color
Short Jersey,30.00,Shorts,Short jersey suave,25.00,120,Champion,si,no,"M,L,XL",,"Jersey,French Terry,Fleece",,material
Short Mesh,36.00,Shorts,Short con malla transpirable,31.00,85,Nike,si,no,"S,M,L,XL","Negro,Rojo,Azul",,,color
Short Board,45.00,Shorts,Short de tabla surf,38.00,70,Billabong,si,no,"30,32,34",,,"Board,Hybrid,Volley",estilo
Short Denim Cut,48.00,Shorts,Short de mezclilla cortado,42.00,65,Levi's,si,no,"28,30,32,34",,"Raw Denim,Stretch,Classic",,material
Short Linen,42.00,Shorts,Short de lino verano,36.00,60,H&M,si,no,"S,M,L",,"Lino,Algodón,Blend",,material
Short Tech,40.00,Shorts,Short tecnología moisture,35.00,80,Puma,si,no,"S,M,L,XL","Negro,Gris,Azul",,,color
Short Vintage,38.00,Shorts,Short estilo vintage,32.00,75,Dickies,si,no,"30,32,34",,,"Vintage,Modern,Classic",estilo
Camiseta Dry-Fit,38.00,Camisetas,Camiseta tecnología dry-fit,33.00,110,Nike,si,no,"S,M,L,XL",,"Dry-Fit,Climalite,Tech",,material
Camiseta Essential,28.00,Camisetas,Camiseta esencial diaria,23.00,140,Uniqlo,si,no,"S,M,L,XL","Negro,Blanco,Gris,Navy",,,color
Camiseta Stripe,35.00,Camisetas,Camiseta a rayas,30.00,90,H&M,si,no,"S,M,L",,,"Stripes,Solid,Print",estilo
Camiseta Muscle,30.00,Camisetas,Camiseta sin mangas,25.00,100,Gym Shark,si,no,"S,M,L,XL",,,"Tank,Muscle,Sleeveless",estilo
Camiseta Crop Tee,28.00,Camisetas,Camiseta crop mujer,24.00,95,Zara,si,no,"XS,S,M","Negro,Blanco,Rosa",,,color
Camiseta Band,35.00,Camisetas,Camiseta estilo banda,30.00,80,Urban Outfitters,si,no,"S,M,L",,"Algodón Vintage,Algodón,Jersey",,material
Camiseta Thermal,38.00,Camisetas,Camiseta térmica,33.00,70,Dickies,si,no,"S,M,L,XL",,"Thermal,Waffle,Rib",,material
Camiseta Ringer,32.00,Camisetas,Camiseta ringer retro,27.00,85,Champion,si,no,"S,M,L",,,"Ringer,Regular,Vintage",estilo
Camiseta Raglan,35.00,Camisetas,Camiseta manga raglan,30.00,90,Vans,si,no,"S,M,L,XL","Blanco/Negro,Gris/Negro",,,color
Camiseta Pocket,28.00,Camisetas,Camiseta con bolsillo,23.00,95,Dickies,si,no,"M,L,XL","Negro,Blanco,Navy",,,color
Pantalón Essential,52.00,Pantalones,Pantalón esencial básico,45.00,85,Nike,si,no,"S,M,L,XL","Negro,Gris,Navy",,,color
Pantalón Slim Chino,62.00,Pantalones,Pantalón chino slim,52.00,70,Gap,si,no,"30,32,34,36",,,"Slim,Regular,Relaxed",estilo
Pantalón Loose,58.00,Pantalones,Pantalón corte holgado,48.00,65,Carhartt,si,no,"30,32,34",,"Duck Canvas,Twill,Denim",,material
Pantalón Athletic,55.00,Pantalones,Pantalón atlético,48.00,80,Under Armour,si,no,"S,M,L,XL","Negro,Gris,Navy",,,color
Pantalón Tapered,68.00,Pantalones,Pantalón corte tapered,58.00,55,Zara,si,no,"30,32,34,36",,,"Tapered,Slim,Straight",estilo
Pantalón Utility,72.00,Pantalones,Pantalón utilitario,62.00,50,Dickies,si,no,"30,32,34",,"Twill,Ripstop,Canvas",,material
Pantalón Sweat,48.00,Pantalones,Pantalón sudadera,42.00,90,Champion,si,no,"S,M,L,XL","Gris,Negro,Navy",,,color
Pantalón Dress,85.00,Pantalones,Pantalón de vestir,75.00,45,H&M,si,no,"30,32,34,36",,"Lana,Poliéster,Blend",,material
Pantalón Striped,58.00,Pantalones,Pantalón con raya lateral,48.00,60,Adidas,si,no,"S,M,L,XL","Negro,Azul,Rojo",,,color
Pantalón Bootcut,72.00,Pantalones,Jean bootcut,62.00,50,Wrangler,si,no,"30,32,34,36",,,"Bootcut,Straight,Flare",estilo
Gorra Logo Essential,24.00,Accesorios,Gorra con logo bordado,20.00,130,Nike,si,no,,"Negro,Blanco,Rojo",,,color
Gorra Vintage,28.00,Accesorios,Gorra estilo vintage,24.00,100,New Era,si,no,,,"Vintage,Washed,Classic",estilo
Gorra Sport,26.00,Accesorios,Gorra deportiva,22.00,110,Adidas,si,no,,"Negro,Blanco,Azul",,,color
Gorra Beanie,22.00,Accesorios,Gorro beanie de lana,18.00,90,Carhartt,si,no,,,"Lana,Acrílico,Cashmere",,material
Gorra Flat,30.00,Accesorios,Gorra visera plana,25.00,80,New Era,si,no,,"Negro,Rojo,Azul",,,color
Mochila Daypack,55.00,Mochilas,Mochila día a día,48.00,70,Nike,si,no,,"Negro,Gris,Azul",,,color
Mochila Roll Top,72.00,Mochilas,Mochila roll top,65.00,50,Herschel,si,no,,,"Nylon,Cordura,Canvas",,material
Mochila Sport,48.00,Mochilas,Mochila deportiva,42.00,80,Adidas,si,no,,"Negro,Rojo,Azul",,,color
Mochila Sling,35.00,Mochilas,Mochila sling cruzada,30.00,90,Champion,si,no,,,"Nylon,Poliéster,Canvas",,material
Mochila Drawstring,25.00,Mochilas,Mochila cordón gym,20.00,120,Nike,si,no,,"Negro,Rojo,Azul",,,color
Polo Tech Moisture,58.00,Polos,Polo tecnología moisture wicking,48.00,75,Nike,si,no,"S,M,L,XL",,"Moisture Wicking,Dry-Fit,Tech",,material
Polo Pique,52.00,Polos,Polo pique clásico,45.00,80,Lacoste,si,si,"S,M,L",,"Pique,Cotton,Premium",,material
Polo Athletic,55.00,Polos,Polo atlético rendimiento,48.00,70,Under Armour,si,no,"S,M,L,XL","Negro,Rojo,Gris",,,color
Polo Oxford,62.00,Polos,Polo tela oxford,55.00,60,Ralph Lauren,si,si,"M,L,XL","Azul,Blanco,Rosa",,,color
Polo Zip,48.00,Polos,Polo con cremallera,42.00,85,Nike,si,no,"S,M,L",,,"Zip,Button,Quarter-Zip",estilo
Polo Contrast,45.00,Polos,Polo con contraste,38.00,90,H&M,si,no,"S,M,L,XL","Negro/Blanco,Navy/Rojo",,,color
Polo Long Sleeve,55.00,Polos,Polo manga larga,48.00,65,Fred Perry,si,no,"S,M,L","Negro,Blanco,Navy",,,color
Polo Embroidered,52.00,Polos,Polo con bordado,45.00,75,Champion,si,no,"M,L,XL","Blanco,Negro,Verde",,,color
Polo Fitted,48.00,Polos,Polo corte ajustado,42.00,80,Zara,si,no,"S,M,L",,,"Fitted,Slim,Regular",estilo
Polo Resort,50.00,Polos,Polo estilo resort,43.00,70,Tommy Bahama,si,no,"M,L,XL",,"Lino,Rayon,Cotton",,material
Zapatilla Jordan,195.00,Zapatillas,Zapatilla Jordan icónica,175.00,30,Nike,si,si,"40,42,44","Negro,Rojo,Blanco",,,color
Zapatilla Stan Smith,115.00,Zapatillas,Zapatilla Stan Smith clásica,100.00,50,Adidas,si,si,"38,40,42,44",,"Leather,Primegreen,Vegan",,material
Zapatilla Authentic,75.00,Zapatillas,Zapatilla Authentic simple,65.00,80,Vans,si,no,"38,40,42","Negro,Blanco,Rojo",,,color
Zapatilla Fresh Foam,140.00,Zapatillas,Zapatilla Fresh Foam running,125.00,45,New Balance,si,no,"39,41,43",,"Fresh Foam,Fuel Cell,FuelCore",,material
Zapatilla Suede,95.00,Zapatillas,Zapatilla Suede clásica,85.00,60,Puma,si,no,"38,40,42,44",,"Suede,Leather,Nubuck",,material
Zapatilla Pegasus,135.00,Zapatillas,Zapatilla Pegasus running,120.00,50,Nike,si,no,"40,42,44","Negro,Blanco,Azul",,,color
Zapatilla Gazelle,100.00,Zapatillas,Zapatilla Gazelle retro,90.00,55,Adidas,si,si,"38,40,42","Negro,Azul,Verde",,,color
Zapatilla Era,80.00,Zapatillas,Zapatilla Era skate,70.00,70,Vans,si,no,"39,41,43",,"Canvas,Suede,Pro",,material
Zapatilla Ventilator,110.00,Zapatillas,Zapatilla Ventilator retro,100.00,40,Reebok,si,no,"38,40,42,44","Blanco,Negro,Azul",,,color
Zapatilla Future,125.00,Zapatillas,Zapatilla Future tech,115.00,45,Puma,si,no,"39,41,43",,"Nitro,Cell,Ignite",,material
Sudadera Pullover,68.00,Sudaderas,Sudadera pullover clásica,58.00,85,Nike,si,no,"S,M,L,XL","Negro,Gris,Navy",,,color
Sudadera Logo Large,75.00,Sudaderas,Sudadera logo grande,65.00,75,Champion,si,si,"M,L,XL",,,"Oversize,Regular,Slim",estilo
Sudadera Washed,70.00,Sudaderas,Sudadera efecto lavado,60.00,65,H&M,si,no,"S,M,L",,"Washed,Vintage,Standard",,material
Sudadera Cropped,55.00,Sudaderas,Sudadera corta mujer,48.00,80,Zara,si,no,"XS,S,M","Negro,Rosa,Blanco",,,color
Sudadera Track Top,78.00,Sudaderas,Sudadera track top,68.00,70,Adidas,si,no,"S,M,L,XL","Negro,Azul,Verde",,,color
Sudadera Reverse Weave,85.00,Sudaderas,Sudadera reverse weave,75.00,55,Champion,si,si,"M,L,XL",,"Reverse Weave,Standard,Heavy",,material
Sudadera Quarter Zip,72.00,Sudaderas,Sudadera cuarto zip,62.00,60,Nike,si,no,"S,M,L,XL",,,"Quarter-Zip,Half-Zip,Full-Zip",estilo
Sudadera Pocket,65.00,Sudaderas,Sudadera con bolsillo,55.00,75,Carhartt,si,no,"M,L,XL","Negro,Marrón,Gris",,,color
Sudadera Split,70.00,Sudaderas,Sudadera diseño split,60.00,65,Urban Outfitters,si,no,"S,M,L","Negro/Gris,Azul/Blanco",,,color
Sudadera Icon,72.00,Sudaderas,Sudadera icónica,62.00,80,Nike,si,si,"S,M,L,XL","Negro,Gris,Navy",,,color
Short Performance,42.00,Shorts,Short alto rendimiento,36.00,90,Under Armour,si,si,"S,M,L,XL",,"Performance,HeatGear,ColdGear",,material
Short Liner,38.00,Shorts,Short con liner interno,33.00,85,Nike,si,no,"S,M,L",,,"Con Liner,Sin Liner,Compression",estilo
Short Sweat,35.00,Shorts,Short tipo sudadera,30.00,95,Champion,si,no,"M,L,XL","Gris,Negro,Navy",,,color
Short French Terry,38.00,Shorts,Short french terry,33.00,80,Nike,si,no,"S,M,L,XL",,"French Terry,Fleece,Jersey",,material
Short Golf,52.00,Shorts,Short para golf,45.00,60,Nike,si,no,"30,32,34,36","Beige,Navy,Gris",,,color
Short Pleated,48.00,Shorts,Short plisado,42.00,55,Zara,si,no,"30,32,34",,,"Pleated,Flat Front,Relaxed",estilo
Short Hybrid,45.00,Shorts,Short híbrido agua/tierra,38.00,70,Hurley,si,no,"30,32,34",,"Quick-Dry,Standard,Stretch",,material
Short Chambray,42.00,Shorts,Short chambray,36.00,65,J.Crew,si,no,"30,32,34",,"Chambray,Lino,Cotton",,material
Short Twill,40.00,Shorts,Short sarga algodón,35.00,75,Dockers,si,no,"30,32,34,36","Beige,Oliva,Navy",,,color
Short Print,38.00,Shorts,Short estampado,32.00,60,H&M,si,no,"S,M,L",,,"Print,Solid,Pattern",estilo
Camiseta Vintage,35.00,Camisetas,Camiseta efecto vintage,30.00,100,Champion,si,si,"S,M,L,XL",,"Vintage,Washed,New",,material
Camiseta Athletic,38.00,Camisetas,Camiseta atlética,33.00,90,Under Armour,si,no,"S,M,L,XL","Negro,Azul,Rojo",,,color
Camiseta Heavyweight,32.00,Camisetas,Camiseta peso pesado,27.00,110,Carhartt,si,no,"M,L,XL",,"Heavyweight,Midweight,Lightweight",,material
Camiseta Relaxed,30.00,Camisetas,Camiseta corte relajado,25.00,120,Uniqlo,si,no,"S,M,L,XL",,,"Relaxed,Fitted,Oversized",estilo
Camiseta Mock Neck,35.00,Camisetas,Camiseta cuello alto,30.00,80,Zara,si,no,"S,M,L",,,"Mock Neck,Crew,Turtleneck",estilo
Camiseta Scoop,28.00,Camisetas,Camiseta cuello scoop,24.00,95,H&M,si,no,"S,M,L","Negro,Blanco,Gris",,,color
Camiseta Color Block,32.00,Camisetas,Camiseta color block,27.00,85,Adidas,si,no,"S,M,L,XL","Negro/Blanco,Azul/Rojo",,,color
Camiseta Slub,30.00,Camisetas,Camiseta tela slub,25.00,100,Gap,si,no,"S,M,L,XL",,"Slub,Cotton,Linen Blend",,material
Camiseta Performance,38.00,Camisetas,Camiseta rendimiento,33.00,90,Nike,si,no,"S,M,L,XL","Negro,Blanco,Azul",,,color
Camiseta Fitted,32.00,Camisetas,Camiseta ajustada,27.00,110,Gym Shark,si,no,"S,M,L,XL",,,"Fitted,Athletic,Compression",estilo
Pantalón Training,58.00,Pantalones,Pantalón entrenamiento,50.00,80,Nike,si,si,"S,M,L,XL","Negro,Gris,Navy",,,color
Pantalón Woven,55.00,Pantalones,Pantalón tejido,48.00,75,Adidas,si,no,"S,M,L,XL",,"Woven,Knit,Stretch",,material
